product_code;customer_code;market_code;order_date;sales_qty;sales_amount;currency
Prod010;C010;Mark003;2018-05-31;1;1417;EUR
Prod010;C014;Mark003;2018-05-31;4;5306;EUR
Prod010;C010;Mark003;2018-06-01;1;472;EUR
Prod010;C003;Mark003;2018-06-01;3;4051;EUR
Prod010;C013;Mark003;2018-06-01;10;14815;EUR
Prod010;C003;Mark003;2018-06-06;3;4495;EUR
Prod010;C012;Mark003;2018-06-07;2;2690;EUR
Prod010;C010;Mark003;2018-06-07;1;1417;EUR
Prod010;C003;Mark003;2018-06-08;1;449;EUR
Prod010;C014;Mark003;2018-06-08;18;23866;EUR
Prod010;C003;Mark003;2018-06-11;1;898;EUR
Prod010;C013;Mark003;2018-06-11;3;4940;EUR
Prod010;C003;Mark003;2018-06-13;1;449;EUR
Prod010;C012;Mark003;2018-06-14;1;2153;EUR
Prod010;C010;Mark003;2018-06-14;1;472;EUR
Prod010;C003;Mark003;2018-06-14;1;449;EUR
Prod010;C014;Mark003;2018-06-14;4;5306;EUR
Prod010;C003;Mark003;2018-06-15;3;3602;EUR
Prod010;C011;Mark003;2018-06-18;4;3583;EUR
Prod010;C003;Mark003;2018-06-18;4;4954;EUR
Prod010;C010;Mark003;2018-06-21;1;1889;EUR
Prod010;C010;Mark003;2018-07-18;1;472;EUR
Prod010;C003;Mark003;2018-07-18;1;1352;EUR
Prod010;C012;Mark003;2018-07-19;1;1616;EUR
Prod010;C003;Mark003;2018-07-19;1;449;EUR
Prod010;C003;Mark003;2018-07-23;1;1801;EUR
Prod010;C003;Mark003;2018-07-30;1;1801;EUR
Prod010;C003;Mark003;2019-01-25;1;449;EUR
Prod010;C003;Mark003;2019-02-04;1;449;EUR
Prod010;C003;Mark003;2019-02-20;1;449;EUR
Prod010;C003;Mark003;2019-03-13;1;444;EUR
Prod010;C003;Mark003;2019-03-28;1;444;EUR
Prod010;C003;Mark003;2019-04-30;1;0;EUR
Prod011;C016;Mark002;2017-10-06;1;505;EUR
Prod011;C016;Mark002;2017-10-13;1;1514;EUR
Prod011;C016;Mark002;2017-10-20;1;2023;EUR
Prod011;C016;Mark002;2017-10-27;25;37889;EUR
Prod011;C016;Mark002;2018-02-08;1;593;EUR
Prod011;C007;Mark004;2018-02-16;1;597;EUR
Prod011;C007;Mark004;2018-02-26;1;2389;EUR
Prod011;C016;Mark002;2018-03-01;1;593;EUR
Prod011;C007;Mark004;2018-03-02;1;1194;EUR
Prod011;C007;Mark004;2018-03-05;8;13736;EUR
Prod011;C007;Mark004;2018-03-12;1;1194;EUR
Prod011;C007;Mark004;2018-04-03;1;597;EUR
Prod011;C007;Mark004;2018-04-09;1;597;EUR
Prod011;C007;Mark004;2018-04-13;1;597;EUR
Prod011;C017;Mark007;2018-04-24;17;17472;EUR
Prod011;C007;Mark004;2018-04-26;2;2986;EUR
Prod011;C007;Mark004;2018-04-27;2;2986;EUR
Prod011;C007;Mark004;2018-05-07;1;597;EUR
Prod011;C007;Mark004;2018-05-14;1;1194;EUR
Prod011;C007;Mark004;2018-05-18;1;796;EUR
Prod011;C017;Mark007;2018-05-31;26;26722;EUR
Prod011;C007;Mark004;2018-06-11;1;796;EUR
Prod011;C007;Mark004;2018-06-13;1;796;EUR
Prod011;C007;Mark004;2018-06-14;1;3185;EUR
Prod011;C007;Mark004;2018-06-18;1;796;EUR
Prod011;C007;Mark004;2018-06-22;1;2389;EUR
Prod011;C007;Mark004;2018-06-29;1;3185;EUR
Prod011;C007;Mark004;2018-07-09;2;5574;EUR
Prod011;C007;Mark004;2018-07-13;1;796;EUR
Prod011;C007;Mark004;2018-07-20;1;796;EUR
Prod011;C007;Mark004;2018-07-27;1;796;EUR
Prod011;C007;Mark004;2018-08-03;1;1593;EUR
Prod011;C016;Mark002;2018-10-12;1;514;EUR
Prod011;C007;Mark004;2018-10-17;1;4759;EUR
Prod011;C007;Mark004;2018-10-25;1;1190;EUR
Prod011;C007;Mark004;2018-10-26;1;1190;EUR
Prod011;C016;Mark002;2018-10-31;3;4106;EUR
Prod011;C007;Mark004;2018-11-05;2;5949;EUR
Prod011;C007;Mark004;2018-11-06;2;5949;EUR
Prod011;C016;Mark002;2018-12-07;1;514;EUR
Prod011;C016;Mark002;2018-12-14;1;514;EUR
Prod011;C016;Mark002;2018-12-21;1;514;EUR
Prod011;C018;Mark002;2018-12-28;1;0;EUR
Prod011;C016;Mark002;2019-01-28;1;514;EUR
Prod011;C016;Mark002;2019-02-01;1;514;EUR
Prod011;C016;Mark002;2019-02-08;1;1028;EUR
Prod011;C016;Mark002;2019-02-15;1;2056;EUR
Prod011;C007;Mark004;2019-02-22;1;796;EUR
Prod011;C016;Mark002;2019-02-22;1;1542;EUR
Prod011;C016;Mark002;2019-03-01;1;514;EUR
Prod011;C016;Mark002;2019-03-08;1;1028;EUR
Prod011;C007;Mark004;2019-04-12;1;796;EUR
Prod011;C007;Mark004;2019-06-03;1;796;EUR
Prod011;C007;Mark004;2019-06-17;1;1593;EUR
Prod011;C007;Mark004;2019-06-24;1;796;EUR
Prod011;C011;Mark003;2019-07-15;1;611;EUR
Prod011;C016;Mark002;2019-08-16;1;1028;EUR
Prod011;C016;Mark002;2019-09-27;1;514;EUR
Prod011;C016;Mark002;2019-10-04;1;514;EUR
Prod011;C016;Mark002;2019-10-18;1;514;EUR
Prod011;C007;Mark004;2019-10-21;1;796;EUR
Prod011;C007;Mark004;2019-10-25;1;796;EUR
Prod011;C016;Mark002;2019-11-01;1;514;EUR
Prod011;C007;Mark004;2019-11-04;1;796;EUR
Prod011;C007;Mark004;2019-11-08;1;1593;EUR
Prod011;C016;Mark002;2019-11-08;1;514;EUR
Prod011;C007;Mark004;2019-11-15;1;3185;EUR
Prod011;C016;Mark002;2019-11-15;1;514;EUR
Prod011;C016;Mark002;2019-11-18;1;514;EUR
Prod011;C007;Mark004;2019-12-06;2;4778;EUR
Prod011;C016;Mark002;2019-12-06;1;514;EUR
Prod011;C007;Mark004;2019-12-13;4;10352;EUR
Prod011;C007;Mark004;2019-12-20;1;796;EUR
Prod011;C016;Mark002;2020-06-12;1;1028;EUR
Prod011;C016;Mark002;2020-06-16;1;514;EUR
Prod012;C019;Mark002;2018-06-05;33;29648;EUR
Prod013;C001;Mark001;2017-10-10;240;143560;EUR
Prod013;C005;Mark004;2017-10-11;7;6204;EUR
Prod013;C007;Mark004;2017-10-16;1;495;EUR
Prod013;C006;Mark004;2017-10-23;20;25130;EUR
Prod013;C007;Mark004;2017-10-25;1;986;EUR
Prod013;C020;Mark004;2017-11-02;13;23898;EUR
Prod013;C005;Mark004;2017-11-03;1;296;EUR
Prod013;C006;Mark004;2017-11-08;1;356;EUR
Prod001;C001;Mark001;2017-10-10;100;41241;EUR
Prod001;C002;Mark002;2018-05-08;3;-1;EUR
Prod002;C003;Mark003;2018-04-06;1;875;EUR
Prod002;C003;Mark003;2018-04-11;1;583;EUR
Prod002;C004;Mark003;2018-06-18;6;7176;EUR
Prod003;C005;Mark004;2017-11-20;59;500;EUR
Prod003;C005;Mark004;2017-11-22;36;250;EUR
Prod003;C005;Mark004;2017-11-23;39;21412;EUR
Prod003;C005;Mark004;2017-11-27;35;19213;EUR
Prod003;C005;Mark004;2017-11-28;310;170185;EUR
Prod003;C005;Mark004;2017-11-29;184;101194;EUR
Prod003;C005;Mark004;2017-11-30;35;19213;EUR
Prod004;C005;Mark004;2017-11-29;17;9426;EUR
Prod004;C005;Mark004;2017-12-19;1;218;EUR
Prod005;C005;Mark004;2018-08-07;5;3093;EUR
Prod003;C006;Mark004;2017-12-04;58;30306;EUR
Prod005;C006;Mark004;2018-06-29;38;52319;EUR
Prod005;C006;Mark004;2018-07-02;93;126296;EUR
Prod005;C006;Mark004;2018-07-03;79;107500;EUR
